Creation Date (Calendar),MMS Id,Title,Author,Author (contributor),ISBN,ISBN13,Reporting Code - 1st,Acquisition Method,Acquisition Method Description,Format,PO Line Type Name,Source Type,Fund Type,Parent Fund Name,Fund Code,Fund Name,Campus Name,Library Name,Location Code,Location Name,Permanent Call Number,Receiving Status,Receiving Date (Latest in POL),Status,Status (Active)
09/13/2023,9952368749501401,Welfare for markets : a global history of basic income /,"Jäger, Anton, 1994- author.","Zamora, Daniel (Sociologist), author.",0226823687; 9780226823683; 9780226825236; 022682523X,9780226823683,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HC79.I5 J29 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368749601401,Weed rules : blazing the way to a just and joyful marijuana policy /,"Wexler, Jay, 1969- author.",,0520343921; 9780520343924; 9780520975255; 0520975251,9780520343924,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF3891.M2 W49 2023,Yes,10/16/2023,CLOSED,Closed
09/13/2023,9952368749701401,Waiting to inhale : cannabis legalization and the fight for racial justice /,"Owusu-Bempah, Akwasi, author.","Rehmatullah, Tahira, author.",0262047683; 9780262047685; 9780262373128; 0262373122; 9780262373111; 0262373114,9780262047685,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HV5822.C3 O98 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368749801401,The UN convention on the elimination of all forms of discrimination against women and its optional protocol : a commentary.,,"Freeman, Marsha A., editor.; Rudolf, Beate, editor.; Halperin-Kaddari, Ruth, editor.; Schulz, Patricia, editor.",0192862812; 9780192862815,9780192862815,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3243.A4198 U5 2022,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368749901401,Tomorrow's lawyers : an introduction to your future /,"Susskind, Richard E., author.","Susskind, Richard E.",0192864726; 9780192864727; 0198796633; 9780198796633; 9780192679994; 0192679996,9780192864727,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K120 .S87 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368750001401,"The role of the media in criminal justice policy : prisons, populism and the press /","Antolak-Saper, Natalia, 1987- author.",,1032115254; 9781032115252; 9781000647716; 1000647714; 9781003220299; 1003220290,9781032115252,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HV7419 .A58 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368750101401,The rhetoric of judging well : the conflicted legacy of Justice Anthony M. Kennedy /,,"Mootz, Francis J., III, editor.; Frank, David A., editor.",0271094842; 9780271094847,9780271094847,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF8775 .K437 2023,Yes,11/07/2023,CLOSED,Closed
09/13/2023,9952368750201401,Reciprocity in public international law /,"Whelan, Arianna, 1988- author.",,1108845584; 9781108845588; 1108970036; 9781108970037; 9781108980173; 1108980171,9781108845588,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KZ1262.R43 W44 2023,Yes,11/07/2023,CLOSED,Closed
09/13/2023,9952368750301401,Public health law in practice /,"Pomeranz, Jennifer L., author.","Schroth, Kevin R. J., author.; Merrill, Thomas G., author.",0197528503; 9780197528501; 9780197528532; 0197528538; 9780197528525; 019752852X,9780197528501,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA418 .P564 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368750401401,The poverty paradox : understanding economic hardship amid American prosperity /,"Rank, Mark R., author.",,0190212632; 9780190212636; 9780197677513; 0197677517; 9780190212650; 0190212659,9780190212636,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HC110.P6 M317 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368750501401,Poison powder : the Kepone disaster in Virginia and its legacy /,"Wilson, Gregory S., author.",,0820363480; 9780820363486; 0820363472; 9780820363479; 9780820364032; 0820364037; 9780820363493; 0820363499,9780820363486,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA1242.C43 W55 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368750601401,The people's hospital : hope and peril in American medicine /,"Nuila, Ricardo, 1978- author.",,1501198041; 9781501198045; 9781501198069; 1501198068,9781501198045,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA975.U72 N85 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368750701401,Normalizing an American right to health /,"Ho, Christina S., author.",,0197650597; 9780197650592; 9780197650615; 0197650619; 9780197650622; 0197650627; 9780197650608; 0197650600,9780197650592,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF3822 .H6 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368750801401,Medical legal violence : health care and immigration enforcement against Latinx noncitizens /,"Van Natta, Meredith, author.",,1479807397; 9781479807390; 1479807427; 9781479807420; 9781479807437; 1479807435; 9781479807444; 1479807443,9781479807390,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,JV6483 .V36 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368750901401,"Legislating under the Charter : parliament, executive power, and rights /","Macfarlane, Emmett, author.","Drake, Anna, 1978- author.; Hiebert, Janet, 1960- author.",9781487552442; 1487552440; 1487554532; 9781487554538; 1487558171; 9781487558178; 9781487556105; 1487556101,9781487552442,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KE4248 .M33 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368751001401,Lazaretto : how Philadelphia used an unpopular quarantine based on disputed science to accommodate immigrants and prevent epidemics /,"Barnes, David S., author.",,1421446448; 9781421446448; 9781421446455; 1421446456,9781421446448,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA661 .B37 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368751101401,Intersections of the legal system and the deaf community : from law enforcement to incarceration /,"Feldman, David M., author.","Covell, Caleigh, author.; Rotshtyn, Dayna, author.; Silvasi, Paul M., author.",3031280997; 9783031280993,9783031280993,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K638 .F45 2023,Yes,11/07/2023,CLOSED,Closed
09/13/2023,9952368751201401,"The international law of biotechnology : human rights, trade, patents, health and the environment /","Herdegen, Matthias, author.",,1035302047; 9781035302048; 1786435950; 9781786435958; 9781035302055; 1035302055,9781035302048,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3925.B56 H47 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368751301401,Indigenous justice and gender /,,"Jarratt-Snider, Karen, editor.; Nielsen, Marianne O., editor.",0816549699; 9780816549696; 0815549695; 9780815549697; 9780816549702; 0816549702,9780816549696,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,E98.W8 I47 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368751401401,"Imprisoned : interlocking oppression in law enforcement, housing, and public education /","Meyerhoffer, Cassi A., author.","Rodriguez, Brittany Leigh, author.",0820364231; 9780820364230; 0820364223; 9780820364223; 9780820364247; 082036424X; 9780820364254; 0820364258,9780820364230,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,E185.61 .M584 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368751501401,"Governing, protecting, and regulating the future of genome editing : the significance of ELSPI perspectives /",,"Nordberg, Ana, editor.; Minssen, Timo, editor.; Slokenberga, Santa, 1987- editor.",9004526080; 9789004526082; 9789004526136; 9004526137,9789004526082,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3611.G46 G68 2023,Yes,11/07/2023,CLOSED,Closed
09/13/2023,9952368751601401,Frontiers of gender equality : transnational legal perspectives /,,"Medina Quiroga, Cecilia, writer of foreword.; Cook, Rebecca J., editor.",1512823554; 9781512823554; 1512823562; 9781512823561,9781512823554,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3243 .F76 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368751701401,Everyone against us : public defenders and the making of American justice /,"Goodman, Allen, author.",,0226826236; 9780226826233; 9780226826240; 0226826244,9780226826233,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF373.G6195 A3 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368751801401,Essentially a mother : a feminist approach to the law of pregnancy and motherhood /,"Hendricks, Jennifer S., 1971- author.",,0520388259; 9780520388253; 0520388267; 9780520388260; 9780520388277; 0520388275,9780520388253,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF540 .H46 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368751901401,Decolonisation and legal knowledge : reflections on power and possibility /,"Adébísí, Folúké, author.",,152921937X; 9781529219371; 9781529219395; 1529219396; 9781529219401; 152921940X,9781529219371,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K230 .A34 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368752001401,The culpable corporate mind /,,"Bant, Elise, editor.",1509952381; 9781509952380; 9781509952397; 150995239X; 9781509952410; 1509952411; 9781509952403; 1509952403,9781509952380,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K1329.5 .C85 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368752101401,Constitutional history of Virginia /,"Tarter, Brent, 1948- author.",,0820363359; 9780820363356; 9780820363349; 0820363340; 9780820363363; 0820363367,9780820363356,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KFV2801.5 .T37 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368752201401,Child first : developing a new youth justice system /,,"Hazel, Neal, editor.; Case, Stephen, editor.",3031192710; 9783031192715,9783031192715,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HV9145.A5 C45 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368752301401,The Black reparations project : a handbook for racial justice /,,"Hubbard, Lucas (Freelance writer), editor.; Mullen, A. Kirsten editor. (Andrea Kirsten),; Darity, William A., Jr., 1953- editor.",0520383818; 9780520383814; 0520383826; 9780520383821,9780520383814,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,E185.89.R45 B53 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368752401401,"Black health : the social, political, and cultural determinants of Black people's health /","Ray, Keisha S. author. (Keisha Shantel),",,0197620272; 9780197620274; 0197620264; 9780197620267; 9780197620304; 0197620302; 9780197620298; 0197620299,9780197620274,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,RA448.5.B53 R39 2023,Yes,10/13/2023,CLOSED,Closed
09/13/2023,9952368752501401,Baby ninth amendments : how Americans embraced unenumerated rights and why it matters /,"Sanders, Anthony J.D., author.",,9780472076154; 0472076159; 0472056158; 9780472056156,9780472076154,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,KF4749 .S26 2023,Yes,10/30/2023,CLOSED,Closed
09/13/2023,9952368752601401,Artistic freedom in international law /,"Polymenopoulou, Eleni, author.",,1108844200; 9781108844208; 1108928420; 9781108928427; 9781108946001; 1108946003; 9781108933667; 1108933661,9781108844208,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3778 .P65 2023,Yes,11/07/2023,CLOSED,Closed
09/13/2023,9952368752701401,"Algorithms, collusion and competition law : a comparative approach /",,"Uemura, Yoshiteru, 1973- editor.; Mehra, Salil, editor.; Van Uytsel, Steven, 1974- editor.",1802203036; 9781802203035; 9781802203042; 1802203044,9781802203035,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,IMPORT_EOD,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,K3851 .A944 2023,Yes,11/21/2023,CLOSED,Closed
09/13/2023,9952368852601401,Seeing race before race : visual culture and the racial matrix in the premodern world /,,"Newberry Library, host institution.; Arizona Center for Medieval and Renaissance Studies, publisher.; Markey, Lia, editor.; Ndiaye, Noémie, editor.",0866988416; 9780866988414; 0866988424; 9780866988421; 9780866988438; 0866988432,9780866988414,Art,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Reserve,3114,3114-Reserve,Snell Campus,Snell Library,slstk,Stacks,NX650.R34 S44 2023,Yes,09/25/2023,CLOSED,Closed
09/13/2023,9952368852801401,"The anticolonial transnational : imaginaries, mobilities, and networks in the struggle against empire /",,"Streets-Salter, Heather, 1968- editor.; Manela, Erez, editor.",1009359118; 9781009359115; 9781009359092; 1009359096; 9781009359108; 100935910X,9781009359115,History,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-hs,nu-hs-History,,,,,,Yes,00/00/0,CLOSED,Closed
09/13/2023,9952368951301401,"Intellectual property : patents, trademarks, and copyright in a nutshell /","Miller, Arthur R. 1934- author. (Arthur Raphael),","Neacsu, Dana, author.; Davis, Michael H., 1946-2020, author.",1685619258; 9781685619251; 1634599020; 9781634599023; 9798887865072,9781685619251,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF2980 .M52 2023,Yes,10/04/2023,CLOSED,Closed
09/13/2023,9952368951401401,International Military Tribunal for the Far East : a legal research guide /,"Mumm, James A., author.",,0837742900; 9780837742908,9780837742908,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF240 .L43 v.97,Yes,11/29/2023,CLOSED,Closed
09/14/2023,9952368852001401,"Becoming a Therapist : What Do I Say, and Why?.","Bender, Suzanne.","Trinh, Nhi-Ha.; Messner, Edward.",1462549578; 9781462549573; 9781462549481; 1462549489,9781462549573,Allied Health,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-nr,nu-nr-Nursing,,,,,,Yes,00/00/0,CLOSED,Closed
09/14/2023,9952368852101401,Making cognitive-behavioral therapy work : clinical process for new practitioners /,"Ledley, Deborah Roth, author.","Heimberg, Richard G., author.; Marx, Brian P., author.",9781462535743; 1462535747; 9781462535637; 1462535631,9781462535743,Psychology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-nr,nu-nr-Nursing,,,,,,Yes,00/00/0,CLOSED,Closed
09/14/2023,9952368852201401,Short-term play therapy for children /,,"Schaefer, Charles E., editor.; Kaduson, Heidi, editor.",1462520286; 9781462520282; 9781462520275; 1462520278,9781462520282,Allied Health,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-nr,nu-nr-Nursing,,,,,,Yes,00/00/0,CLOSED,Closed
09/14/2023,9952368852301401,Essential psychotherapies : theory and practice /,,"Kaslow, Nadine J., editor.; Messer, Stanley B., editor.",146254097X; 9781462540976; 1462540945; 9781462540945; 9781462540846; 1462540848,9781462540976,Psychology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-nr,nu-nr-Nursing,,,,,,Yes,00/00/0,CLOSED,Closed
09/15/2023,9952369252401401,Under the eye of power : how fear of secret societies shapes American democracy /,"Dickey, Colin, author.",,0593299450; 9780593299456; 9780593299463; 0593299469,9780593299456,History,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,366.0973 D551 2023,Yes,09/22/2023,CLOSED,Closed
09/15/2023,9952369252501401,Radical acts of justice : how ordinary people are dismantling mass incarceration /,"Simonson, Jocelyn, author.",,1620977443; 9781620977446; 9781620978078; 1620978075,9781620977446,Political Science,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,345.73072 S6118 2023,Yes,09/22/2023,CLOSED,Closed
09/15/2023,9952369252701401,The girl in the yellow poncho : a memoir /,"Zook, Kristal Brent, author.",,1478017198; 9781478017196; 9781478024477; 147802447X,9781478017196,Ethnic Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,305.805 Z877 2023,Yes,09/22/2023,CLOSED,Closed
09/15/2023,9952369252801401,Banned book club /,"Kim, Hyun Sook, author.","Iron Circus Comics, publisher.; Kim, Hyun Sook.; Estrada, Ryan, 1980- author.; Ko, Hyung-Ju, artist.",194582042X; 9781945820427,9781945820427,History,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olgn,Graphic Novels - 2nd Floor,951.9504 K492 2020,Yes,09/22/2023,CLOSED,Closed
09/18/2023,9952368851201401,Food policy in the United Kingdom : an introduction /,"Caraher, Martin, author.","Wells, Rebecca (Policy scientist), author.; Furey, Sinéad, author.",1003260306; 9781003260301; 1000916081; 9781000916089; 1032196777; 9781032196770; 1000916103; 9781000916102; 9781032196824; 1032196823,9781003260301,Public Policy,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
09/18/2023,9952368851501401,A student's guide to developmental psychology /,"Harris, Margaret, 1951-","Westermann, Gert.",1317963040; 9781317963042; 1315867214; 9781315867212; 9781322154220; 1322154228; 9781848720176; 1848720173; 9781848720169; 1848720165,9781317963042,Psychology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nch,NCH,,,,,,Yes,00/00/0,CLOSED,Closed
09/18/2023,9952368948101401,Crazy Rich Asians Trilogy Box Set.,"Kwan, Kevin.",,0525566651; 9780525566656,9780525566656,Recreational Reading,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Davis,da-r,Davis Replacements,Snell Campus,Snell Library,slstk,Stacks,Unknown,Yes,10/02/2023,CLOSED,Closed
09/18/2023,9952369052301401,Organizational communication : foundations for collaboration /,"Zaremba, Alan Jay, author.",,179245032X; 9781792450327; 1792493312; 9781792493317,9781792450327,Business,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,651.7 Z36 2021,Yes,09/26/2023,CLOSED,Closed
09/19/2023,9952368850701401,Letters to a young artist /,"Smith, Anna Deavere.",,030748744X; 9780307487445; 141772885X; 9781417728855; 1400032385; 9781400032389,9780307487445,Theatre,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
09/19/2023,9952370085301401,Risk : the game of strategic conquest.,,"Hasbro, Inc., publisher.",B01ALHAIWG,B01ALHAIWG,Game Design,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,IMPORT_EOD,Allocated fund,F.W. OLIN LIBRARY COLLECTIONS ACCOUNT,m3204,Mills Films,OAKLAND Campus,F.W. Olin Library,olcirc,Circulation Desk,circ desk,Yes,09/22/2023,CLOSED,Closed
09/20/2023,9952368152301401,Leech /,"Ennes, Hiron, author.",,125081118X; 9781250811189; 1250811201; 9781250811202; 152907360X; 9781529073607; 9781250811196; 1250811198,9781250811189,Fiction,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olfic,Fiction - 2nd Floor,Fiction E591L 2022,Yes,09/28/2023,CLOSED,Closed
09/20/2023,9952368152401401,The tragedy of King Lear /,"Shakespeare, William, 1564-1616.","Werstine, Paul.; Mowat, Barbara A.",9780671722722; 0671722727; 074348276X; 9780743482769; 1417639210; 9781417639212; 0756946018; 9780756946012,9780671722722,English Language Studies,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,822.3 K3m 1993,Yes,09/28/2023,CLOSED,Closed
09/20/2023,9952368152501401,Introduction to deaf culture /,"Holcomb, Thomas K., 1959- author.",,0197503233; 9780197503232; 9780197503256; 019750325X,9780197503232,Sociology,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,362.42 H725 2023,Yes,09/28/2023,CLOSED,Closed
09/20/2023,9952368551701401,Textbook of ion channels /,,"Trudeau, Matthew C., editor.; Zheng, Jie, 1966- editor.",1003096212; 9781003096214; 1003096271; 9781003096276; 1003310311; 9781003310310; 9780367560492; 0367560496; 9780367538163; 0367538164; 9780367560812; 036756081X; 9780367538194; 0367538199; 9781032408040; 1032408049; 9780367538156; 0367538156,9781003096214,Pharmacology/Toxicology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-ph,nu-ph-Pharmacy,,,,,,Yes,00/00/0,CLOSED,Closed
09/20/2023,9952368551801401,Basics of the U.S. health care system /,"Niles, Nancy J., author.",,1284170020; 9781284170023; 9781284169874; 1284169871,9781284170023,Public Health,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-ah,nu-ah-Health Sciences,,,,,,Yes,00/00/0,CLOSED,Closed
09/20/2023,9952368850201401,I saw death coming : a history of terror and survival in the war against reconstruction /,"Williams, Kidada E., author.",,1635576644; 9781635576641; 9781635576634; 1635576636,9781635576641,History,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-hs,nu-hs-History,,,,,,Yes,00/00/0,CLOSED,Closed
09/20/2023,9952368946701401,"Modern Japanese cuisine : food, power and national identity /","Cwiertka, Katarzyna Joanna, 1968-",,1861896204; 9781861896209; 1780234538; 9781780234533; 9781861892980; 1861892985,9781861896209,Sociology,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Firm Orders,nu-meb,nu-meb - Mills E-Books,,,,,,Yes,00/00/0,CLOSED,Closed
09/20/2023,9952369252301401,Bad gays : a homosexual history /,"Lemmey, Huw, author.","Miller, Ben (Historian), author.",1839763272; 9781839763274; 1839763280; 9781839763281; 9781839763298; 1839763299; 9781839763304; 1839763302,9781839763274,WGSS,VENDOR_SYSTEM,Purchase at Vendor System,P,Physical - One Time,API,Allocated fund,F.W. OLIN LIBRARY RESTRICTED ACCOUNT,rnlds,Flora Elizabeth Reynolds Book Fund,OAKLAND Campus,F.W. Olin Library,olnf1,Non-Fiction,306.76609 L5548 2022,Yes,09/28/2023,CLOSED,Closed
